[2026-04-10T02:30:18.587886+00:00] Running setup_arvo_project.py
[2026-04-10T02:30:20.047476+00:00] setup_arvo_project.py completed successfully
[2026-04-10T04:48:01.602073+00:00] Ensuring image in DinD: vulpatch:48372-vul
[2026-04-10T04:48:48.581721+00:00] Image ready in DinD: vulpatch:48372-vul
[2026-04-10T04:48:48.582559+00:00] Running setup_arvo_project.py
[2026-04-10T04:48:49.582081+00:00] setup_arvo_project.py completed successfully

=== Running ARVO ID 48372 ===
time="2026-04-10T04:48:49Z" level=warning msg="The \"EVAL_ARGS\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"API_KEY_ID\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"API_KEY_TOKEN\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"CAPI_ID\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"CAPI_TOKEN\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"ANTHROPIC_API_KEY\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"OPENAI_API_KEY\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"GEMINI_API_KEY\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"GOOGLE_APPLICATION_CREDENTIALS\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"GITHUB_TOKEN\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"AZURE_API_KEY\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"AZURE_API_BASE\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"AZURE_AI_API_KEY\" variable is not set. Defaulting to a blank string."
time="2026-04-10T04:48:49Z" level=warning msg="The \"AZURE_AI_API_BASE\" variable is not set. Defaulting to a blank string."
2026-04-10 04:48:52.929 | INFO     | crs.common.docker:run:254 - docker.run(image='vulpatch:48372-vul', timeout=600)
2026-04-10 04:48:53.082 | INFO     | crs.common.docker:run:321 - started docker vulpatch:48372-vul cid 0a95c9136fa6329efb0b42378430c78be541fd560f0f647888d9c138519c4413
2026-04-10 04:48:53.266 | INFO     | crs.common.docker:exec:224 - Executing in container 0a95c9136fa6329efb0b42378430c78be541fd560f0f647888d9c138519c4413: tar cf - --transform s/^\.\/// -C /src .
2026-04-10 04:48:55.696 | INFO     | crs.modules.project:_init_project_data_inner:215 - initializing data for projects/c-blosc2
2026-04-10 04:48:55.699 | INFO     | crs.modules.project:_init_project_data_inner:230 - Using cached src.tar, skipping image build
2026-04-10 04:48:55.699 | INFO     | crs.modules.project:_init_project_data_inner:241 - Using ARVO workdir: /src/c-blosc2
2026-04-10 04:48:55.700 | INFO     | crs.modules.project:from_dir:556 - Project created successfully for c-blosc2
2026-04-10 04:48:55.786 | INFO     | crs.common.docker:run:254 - docker.run(image='vulpatch:48372-vul', timeout=120)
2026-04-10 04:48:55.889 | INFO     | crs.common.docker:run:321 - started docker vulpatch:48372-vul cid 462ccae16fd6cb8edf437ebbdaa7b344ea8fc6f37a98db925194cf4fca61497a
2026-04-10 04:48:56.132 | INFO     | crs.common.docker:exec:224 - Executing in container 462ccae16fd6cb8edf437ebbdaa7b344ea8fc6f37a98db925194cf4fca61497a: tar cf - --transform s/^\.\/// -C /out .
2026-04-10 04:48:56.820 | INFO     | crs.common.docker:run:254 - docker.run(image='vulpatch:48372-vul', timeout=120)
2026-04-10 04:48:56.873 | INFO     | crs.common.docker:run:321 - started docker vulpatch:48372-vul cid fb2226fea9b7394eb8d5c074e7307108533f5ff86eb28873a0ec2713970c87b5
2026-04-10 04:48:57.087 | INFO     | crs.common.docker:exec:224 - Executing in container fb2226fea9b7394eb8d5c074e7307108533f5ff86eb28873a0ec2713970c87b5: tar cf - --transform s/^\.\/// -C /out .
2026-04-10 04:48:57.393 | INFO     | crs.common.docker:run:254 - docker.run(image='vulpatch:48372-vul', timeout=120)
2026-04-10 04:48:57.496 | INFO     | crs.common.docker:run:321 - started docker vulpatch:48372-vul cid 8ee80ce09859a4cc8c4d6d40833b505dba049c2a4d54af0e64ea855ab4388fd1
