id,patch_exists,workflow_exists,total_cost_usd,triage_cost_usd,patching_cost_usd,total_llm_calls,triage_llm_calls,patching_llm_calls,total_input_tokens,total_output_tokens,model
3175,False,True,0.0691593,0.03581585,0.033343450000000004,6,2,4,46478,1031,gpt-5.3-codex
3265,False,True,0.14220254999999998,0.0327796,0.10942294999999999,24,4,20,335689,2353,gpt-5.3-codex
3447,False,True,0.12110035,0.0164178,0.10468255,21,2,19,179565,3326,gpt-5.3-codex
4300,True,True,0.0677838,0.0365218,0.031262,7,3,4,78340,838,gpt-5.3-codex
4440,False,True,0.2497103,0.019672099999999998,0.2300382,42,2,40,828410,2586,gpt-5.3-codex
4492,False,True,0.0927577,0.0257628,0.0669949,17,4,13,163022,1987,gpt-5.3-codex
4764,False,True,0.11173365,0.02543835,0.0862953,18,3,15,191563,1546,gpt-5.3-codex
6457,False,True,0.104706,0.04201679999999999,0.0626892,8,2,6,153808,1141,gpt-5.3-codex
9377,False,True,0.049583100000000005,0.0268338,0.0227493,7,3,4,66106,664,gpt-5.3-codex
9383,True,True,0.06693225,0.03522225,0.03171,8,3,5,83175,936,gpt-5.3-codex
9385,True,True,0.07289765000000001,0.039466,0.03343165,7,3,4,76379,1074,gpt-5.3-codex
10084,True,True,0.051493399999999995,0.0255472,0.0259462,7,2,5,53972,906,gpt-5.3-codex
10606,True,True,0.0603008,0.03631145,0.02398935,14,9,5,104168,1179,gpt-5.3-codex
10624,True,True,0.0547456,0.036532999999999996,0.018212600000000002,15,10,5,84760,1221,gpt-5.3-codex
10881,True,True,0.038318000000000005,0.0212093,0.0171087,6,2,4,40528,623,gpt-5.3-codex
10899,True,True,0.0534996,0.023435650000000002,0.03006395,6,2,4,48064,895,gpt-5.3-codex
11060,True,True,0.050759799999999994,0.029010449999999997,0.021749349999999997,6,2,4,49340,727,gpt-5.3-codex
11081,False,True,0.09715265000000001,0.024264799999999996,0.07288785,17,2,15,194103,1771,gpt-5.3-codex
11171,True,True,0.05457865,0.0312732,0.02330545,7,3,4,50815,945,gpt-5.3-codex
11245,True,True,0.03949155,0.015413299999999998,0.02407825,6,2,4,39781,757,gpt-5.3-codex
11351,False,True,0.07424515000000001,0.0199605,0.054284650000000004,14,2,12,140853,1391,gpt-5.3-codex
11585,False,True,0.12339599999999999,0.0568085,0.0665875,12,4,8,186696,1749,gpt-5.3-codex
11713,True,True,0.04953795,0.023952599999999998,0.02558535,7,3,4,58693,853,gpt-5.3-codex
11753,True,True,0.04655595,0.02469915,0.0218568,7,3,4,54405,672,gpt-5.3-codex
12312,True,True,0.055540099999999995,0.026600699999999998,0.0289394,9,4,5,74542,1115,gpt-5.3-codex
12419,False,True,0.1704493,0.03804675,0.13240255,30,3,27,496302,1646,gpt-5.3-codex
14637,False,True,0.24007829999999997,0.038392899999999994,0.2016854,43,3,40,793394,2747,gpt-5.3-codex
14916,False,True,0.0869743,0.0436912,0.0432831,10,4,6,92154,1274,gpt-5.3-codex
15776,False,True,0.0746284,0.030265550000000002,0.044362849999999995,8,2,6,94088,1216,gpt-5.3-codex
15827,False,True,0.07478975,0.02702945,0.0477603,9,2,7,106385,1044,gpt-5.3-codex
17228,True,True,0.5797043000000001,0.26576235000000004,0.31394195,6,2,4,793010,1278,gpt-5.3-codex
18733,False,True,0.0507171,0.02509115,0.02562595,7,2,5,49650,1002,gpt-5.3-codex
20061,True,True,0.0541583,0.030463999999999998,0.0236943,7,3,4,56610,925,gpt-5.3-codex
20113,True,True,0.0557683,0.02943395,0.02633435,7,2,5,59466,827,gpt-5.3-codex
20115,False,True,0.91254345,0.14955079999999998,0.76299265,42,2,40,3521359,2695,gpt-5.3-codex
20116,True,True,0.06550845,0.02759225,0.0379162,6,2,4,78779,851,gpt-5.3-codex
20120,False,True,0.8707012999999999,0.15430905,0.71639225,41,2,39,3309478,2201,gpt-5.3-codex
20123,True,True,0.05749695,0.030351299999999998,0.02714565,6,2,4,53641,829,gpt-5.3-codex
20124,True,True,0.048697950000000004,0.021567,0.02713095,7,2,5,58877,770,gpt-5.3-codex
20135,False,True,0.08699285,0.0419846,0.04500825,6,2,4,69315,919,gpt-5.3-codex
20139,True,True,0.05424755,0.0268051,0.02744245,8,2,6,68973,826,gpt-5.3-codex
20186,True,True,0.04603235,0.021862399999999997,0.02416995,6,2,4,50893,656,gpt-5.3-codex
20199,True,True,0.1539937,0.0659029,0.0880908,7,3,4,220358,1138,gpt-5.3-codex
20203,False,True,0.0740271,0.024676399999999998,0.0493507,12,2,10,72074,1520,gpt-5.3-codex
20712,True,True,0.060558049999999995,0.0223272,0.03823085,8,2,6,61443,1282,gpt-5.3-codex
20944,True,True,0.1090796,0.05622505,0.05285454999999999,7,3,4,143576,774,gpt-5.3-codex
21026,False,True,0.1303645,0.027399399999999997,0.1029651,18,3,15,271790,2554,gpt-5.3-codex
21257,False,True,0.06549864999999999,0.02790235,0.0375963,7,2,5,54575,1615,gpt-5.3-codex
21263,False,True,0.06087479999999999,0.022209599999999996,0.0386652,12,2,10,54552,1734,gpt-5.3-codex
21289,False,True,0.0604912,0.01636845,0.04412275,16,2,14,112160,1360,gpt-5.3-codex
22909,True,True,0.0664524,0.03817905,0.02827335,7,3,4,69464,758,gpt-5.3-codex
23046,True,True,0.5032902,0.23751735,0.26577285,8,3,5,845492,1010,gpt-5.3-codex
23120,True,True,0.07295225,0.034693749999999995,0.0382585,7,3,4,66863,813,gpt-5.3-codex
23140,True,True,0.042874999999999996,0.025081,0.017794,9,4,5,52260,922,gpt-5.3-codex
23427,False,True,0.14340235,0.02340905,0.1199933,29,2,27,392293,2016,gpt-5.3-codex
24101,False,True,0.08348059999999999,0.025681249999999996,0.05779935,13,2,11,151060,1394,gpt-5.3-codex
24399,True,True,0.0710514,0.03409665,0.03695475,8,3,5,71868,1578,gpt-5.3-codex
24406,True,True,0.1768053,0.0660338,0.1107715,6,2,4,167374,880,gpt-5.3-codex
24422,True,True,0.0689689,0.034997549999999995,0.03397135,7,2,5,76110,1115,gpt-5.3-codex
24507,False,True,,,,,,,,,
24567,True,True,0.05599615,0.027319950000000003,0.0286762,6,2,4,61265,748,gpt-5.3-codex
24884,True,True,0.09780295,0.049325499999999994,0.04847745,7,2,5,117425,991,gpt-5.3-codex
25014,True,True,0.0506814,0.0264796,0.0242018,7,3,4,54996,1008,gpt-5.3-codex
25068,True,True,0.0493423,0.0226968,0.0266455,8,4,4,61370,994,gpt-5.3-codex
25257,True,True,0.06855939999999999,0.0310485,0.0375109,7,2,5,89956,723,gpt-5.3-codex
25341,True,True,0.05691245,0.0323974,0.02451505,6,2,4,55955,858,gpt-5.3-codex
25384,True,True,0.0418432,0.02497145,0.016871749999999998,6,2,4,39432,695,gpt-5.3-codex
25601,False,True,0.08189824999999999,0.026714799999999997,0.055183449999999995,10,2,8,74191,1760,gpt-5.3-codex
26015,False,True,0.0909867,0.02717785,0.06380885,14,2,12,150002,1184,gpt-5.3-codex
26167,True,True,0.13505275,0.06253275,0.07252,9,4,5,217581,953,gpt-5.3-codex
26345,True,True,0.0510937,0.0197813,0.0313124,7,2,5,52638,785,gpt-5.3-codex
26880,False,True,0.062699,0.03317615,0.02952285,11,6,5,76716,1297,gpt-5.3-codex
27025,True,True,0.0515221,0.024723299999999997,0.0267988,8,3,5,60574,1134,gpt-5.3-codex
27315,True,True,0.0935046,0.04465825,0.04884635,7,2,5,112700,1073,gpt-5.3-codex
27678,True,True,0.14561225,0.03589845,0.1097138,10,3,7,128967,2128,gpt-5.3-codex
27945,True,True,0.04834864999999999,0.026971349999999998,0.0213773,8,3,5,43663,1034,gpt-5.3-codex
28050,True,True,0.0805784,0.0353689,0.0452095,8,3,5,86752,1406,gpt-5.3-codex
28507,True,True,0.058751349999999994,0.02268665,0.0360647,8,2,6,68561,1084,gpt-5.3-codex
28660,True,True,0.06369125,0.028175350000000002,0.035515899999999996,7,2,5,78251,960,gpt-5.3-codex
28904,True,True,0.0620697,0.0341355,0.0279342,8,4,4,66318,1011,gpt-5.3-codex
29185,True,True,0.04774874999999999,0.02023315,0.027515599999999998,7,2,5,52421,1034,gpt-5.3-codex
29444,True,True,0.061862150000000005,0.0268856,0.03497655,7,3,4,61153,1469,gpt-5.3-codex
29500,False,True,0.56494445,0.24777865,0.3171658,7,2,5,864219,1273,gpt-5.3-codex
29538,True,True,0.0633528,0.026613300000000003,0.0367395,8,2,6,70336,1018,gpt-5.3-codex
29576,False,True,0.35403304999999996,0.15499785,0.1990352,7,2,5,542375,720,gpt-5.3-codex
29734,False,True,0.16033814999999998,0.0208292,0.13950895,25,2,23,414825,2382,gpt-5.3-codex
29816,True,True,0.051116449999999994,0.029246349999999997,0.0218701,7,2,5,51915,805,gpt-5.3-codex
29849,True,True,0.060876200000000005,0.0395087,0.0213675,8,4,4,61156,1139,gpt-5.3-codex
29899,True,True,0.04132275,0.017793999999999997,0.02352875,8,2,6,52189,964,gpt-5.3-codex
29947,True,True,0.0668801,0.030400999999999997,0.0364791,10,2,8,71582,1287,gpt-5.3-codex
29973,True,True,0.044420249999999994,0.02598015,0.018440099999999997,8,4,4,49287,900,gpt-5.3-codex
30253,True,True,0.0567917,0.02869055,0.02810115,7,3,4,41814,1249,gpt-5.3-codex
