arvo_id,project,harness,completed,patch_generated,run_status,vuln_id,vuln_function,vuln_file,total_cost_usd,triage_cost_usd,patching_cost_usd,total_llm_calls,failure_phase,failure_error,patch_failure_reason,last_validation_status,last_validation_message,workflow_file
10084,harfbuzz,hb-subset-fuzzer,yes,yes,completed,29,ContextFormat2::closure,harfbuzz/src/hb-ot-layout-gsubgpos.hh,0.05578825,0.02299675,0.0327915,10,,,,validated_patch_accepted,Patch validation succeeded,crs/arvo-patching-agent/arvo_10084/workflow_data.json
10606,open62541,fuzz_binary_message,yes,yes,completed,218,createDummyConnection,open62541/tests/testing-plugins/testing_networklayers.c,0.10205965,0.07339745,0.0286622,15,,,,validated_patch_accepted,Patch validation succeeded,crs/arvo-patching-agent/arvo_10606/workflow_data.json
10624,open62541,fuzz_binary_message,yes,yes,completed,221,LLVMFuzzerTestOneInput,open62541/tests/fuzz/fuzz_binary_message.cc,0.07103425,0.03161095,0.0394233,15,,,,validated_patch_accepted,Patch validation succeeded,crs/arvo-patching-agent/arvo_10624/workflow_data.json
10881,harfbuzz,hb-shape-fuzzer,yes,yes,completed,30,has_data,harfbuzz/src/hb-ot-kern-table.hh,0.12355769999999999,0.041636349999999996,0.08192135,18,,,,validated_patch_accepted,Patch validation succeeded,crs/arvo-patching-agent/arvo_10881/workflow_data.json
10899,harfbuzz,hb-shape-fuzzer,yes,yes,completed,31,KerxSubTableFormat6::sanitize,harfbuzz/src/hb-aat-layout-kerx-table.hh,0.052598700000000005,0.031073700000000003,0.021525000000000002,9,,,,validated_patch_accepted,Patch validation succeeded,crs/arvo-patching-agent/arvo_10899/workflow_data.json
11060,harfbuzz,hb-shape-fuzzer,yes,yes,completed,32,Lookup::sanitize,harfbuzz/src/hb-aat-layout-common.hh,0.04550105,0.025622100000000002,0.01987895,7,,,,validated_patch_accepted,Patch validation succeeded,crs/arvo-patching-agent/arvo_11060/workflow_data.json
11081,harfbuzz,hb-subset-fuzzer,yes,no,completed,33,Script::subset,harfbuzz/src/hb-ot-layout-common.hh,0.08628515,0.03144785,0.0548373,13,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces,crs/arvo-patching-agent/arvo_11081/workflow_data.json
11171,skia,api_polyutils,yes,yes,completed,37,ReflexHash::hash,skia/src/utils/SkPolyUtils.cpp,0.0574938,0.0295904,0.027903400000000002,7,,,,validated_patch_accepted,Patch validation succeeded,crs/arvo-patching-agent/arvo_11171/workflow_data.json
11245,harfbuzz,hb-shape-fuzzer,yes,no,completed,34,OT::KernSubTableFormat3<OT::KernOTSubTableHeader>::get_kerning,harfbuzz/src/hb-ot-kern-table.hh,0.11053315,0.023072,0.08746115,16,,,the agent did not produce a result,,,crs/arvo-patching-agent/arvo_11245/workflow_data.json
11351,harfbuzz,hb-subset-fuzzer,yes,no,completed,35,OT::hdmx::serialize,harfbuzz/src/hb-ot-hdmx-table.hh,0.11645269999999999,0.0229614,0.0934913,26,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces,crs/arvo-patching-agent/arvo_11351/workflow_data.json
